username,komentar,sentimen,Waktu,,,
lisdasari18,Alhamdulillaah....,Positif,10/01/21 09:13:24,,,
lisdasari18,"Semoga apa yg direncanakan pemerintah  berjalan dengan baik ,......menuju Indonesia maju, semangat",Positif,10/01/21 09:16:15,,,
dhlwnaaa,Bapak saya capek daring..,Negatif,12/01/21 09:27:41,,,
mahndra_57,"Jadi saya mau ngasih saran buat pemerintah kan COVID-19 udah banyak banget di Indonesia jadi gimana kalo pemerintah adakan 14 hari pengawalan ketat di seluruh provinsi sampe plosok² desa yang jarang beradaptasi dengan pemerintah. Selama 14 hari itu pemerintah kerah kan seluruh TNI, POLISI, dan dokter untuk bekerja sama menjaga masyarakat supaya tidak keluar rumah supaya tetap di dalam trus soal makanan 14 hari itu di urus pemerintah insyaallah selama 14 hari itu COVID-19 akan hilang jika kita ada kemauan yang sangat tinggi apapun bisa terjadi:)",Positif,16/01/21 02:25:33,,,
k_cong.yan,Pengen di suntik,Positif,18/01/21 02:58:49,,,
aura_septya99,"ikuti aja susah amat sih, banyak bacot semua",Negatif,18/01/21 03:02:27,,,
desqa_jaya_plafon,Vaksin kan ada tingkatan harganya.. Pasti yg disuntik ke bapak yg terbaik.. Sedangkan ke masyarakat yg paling murah mungkin pak kan..,Negatif,18/01/21 03:26:31,,,
0verdreamlng_,semangat ya pak,Positif,18/01/21 03:31:42,,,
rdwnakbr.18,Yakin vaksinnya aman? Ko banyak yg MATI?,Negatif,18/01/21 03:53:45,,,
nurhawatisitorus9,Salam sehat selalu pak de,Positif,18/01/21 06:18:20,,,
masterhitech,"Mari kita ikuti Bapak Presiden RI, Ir. Joko Widodo menerima suntikan pertama vaksin covid 19 Sinovac. Kita rakyat tidak perlu ragu dan takut.",Positif,18/01/21 16:30:01,,,
angely_emitasari,Pak presiden  no 1 ,Positif,18/01/21 17:31:13,,,
_mariayulwijaya7_8,Salut,Positif,18/01/21 18:46:55,,,
daealam65,Alhamdulillah sehat selalu Bapak presiden Jokowi,Positif,19/01/21 01:35:08,,,
nabil231008,Alhamdulillah sehat sehat ya pak,Positif,19/01/21 03:32:08,,,
bimsario,"yang bilang itu vitamin c , brooo vitamin c lewat vena aja berasa perihnya gimana lewat otot coba nethink mulu sih hidup lu",Negatif,19/01/21 03:59:50,,,
sigiit_prytn,liat yang terjadi pak ditahun 2021 banyak orang mati!!,Negatif,19/01/21 05:27:01,,,
budayaku_nusantaraku,"Mohon ijin Bapak, kalau bisa Yg Diberikan Vaksin Setelah Nakes Itu yg Rakyat Biasa Dulu. Kenapa. Yg . Karena Rakyat Biasa sangat Beresiko. Kontak erat langsung dengan orang orang , selain itu rakyat biasa tak berpenghasilan tetap,Beda dng ASN . Rakyat biasa dan anak adalah generasi penerus. Kalau orang tua mati tak ada pensiun. Semboyan ora obah ora mamah. Yg lain kan dirumah masih dpet gaji.. mohon maaf jika saya keliru.",Negatif,19/01/21 06:07:28,,,
adioranan2,"Yth. @DPR_RI, @kompolnas_ri @KOMPOLNAS, Wanjakti, @OmbudsmanRI137, @jokowi dll. Sy tdk setuju Kabareskrim Komjen Sigit (diajukan) sbg Kapolri, krn surat yg sy ajukan ke Kapolri & Ybs yg kykny direstui Kapolri skrg tdk pernah mendptkn tanggapan sm skl",Negatif,19/01/21 09:58:53,,,
rizkyreza22,Vaksin nya engga masuk tuh pak ,Negatif,19/01/21 12:06:40,,,
woy_benz,Duh alah kacau,Negatif,19/01/21 12:28:38,,,
rifiyalkabah,presiden kacau siapa ini??,Negatif,19/01/21 15:27:41,,,
keren_bubane,Sehat selalu bapak presiden,Positif,19/01/21 18:06:38,,,
geumran.id,"pak vaksin mandiri tolong dipercepat , sediakan di rumah sakit agar kami rakyat bisa segera divaksin...",Positif,19/01/21 20:16:09,,,
bundabella69,Begini mestinya kalo kalian menghargai bahwa pa jokowi presiden indonesia presiden kalian swmua .mestinya berkomentar yang sederhana saja. Malah lebih bagus tidaknperlu berkomentar. Krna matinya seorang mahluk bukan di tangan vaksin tpi takdir dan ketetapan alloh lah .yang mencabut nyawa tersebut.  Ya kalo kalian pada takut mati .ya jangan pada maksiat .ingat bencana dimna mana . Itu teguran buat yang belum insyaf . Ucapan lebih menyakitkan dari suatu perbuatan . Karna setajam #sileet.,Positif,20/01/21 02:07:30,,,
dimas_dxd18,Temenku di vaksin malah mati,Negatif,20/01/21 02:33:02,,,
astrid_ops1597,"Pak Jokowi kalau semua vaksin yg di beli dr negara lain sudah di uji di lab & dinyatakan aman, berarti harus semua vaksin dunk yg di suntik ke tubuh bapak , jangan hanya satu vaksin. Kalau hanay satu vaksin itu mah sangat di ragukan aman pak. Soal UU yg isinya apabila menolak di vaksin di penjara atau membayar denda, seharusnya di hapus itu pak. UU itu berarti sudah menganggu gugat hak setiap orang. Setiap orang berhak menolak dunk pak. Kalau begitu buat apa ada komnas ham. Lebih baik komnas ham di tutup sjmaja pak. Tdk ada gunanya juga ada komnas ham. Lagi pula komnas ham hanya meras uang rakyat. Kalau ada ada rakyat mengadu soal pelanggaran ham , rakyat harus bayar uang sangat banyak.",Negatif,20/01/21 02:39:14,,,
astrid_ops1597,"Pak Jokowi , seharusnya ketua MPR & anggotanya  dan ketua DPR & anggotanya harus di suntik semua vaksin yg di beli dr negara lain. Kan mereka yg buat dan menyetujui UU tersebut. Jangan seenaknya memaksa orang untuk di suntik vaksin. Dgn adanya UU tsb berarti rakyat di paksa utk di vaksin.  Kalau mereka semua tdk mau di paksa untuk dihapus  saja MPR & DPR , maka jangan maksa kami sbg rakyat untuk di vaksin. Kami bukanlah kelinci percobaan!! Kami bukanlah binatang untuk di uji coba!!",Negatif,20/01/21 02:44:52,,,
astrid_ops1597,"Kalau kalian masih juga maksa kami sebagai rakyat untuk di vaksin maka akan lebih banyak lagi bencana yg terjadi di indonesia. Bencana nya akan lebih parah dari tahun2 yg lalu. Bencana2 yg kemarin terjadi masih peringatan dr Tuhan yg masih belum seberapa parahnya. Akan ada bencana yg lebih parah dari yg kemarin. Semakin banyak yg miskin di Indonesia. Ingat yaa pak , Israel adalah negara pilihan nomor satu & Indonesia adalah negara nomor 2 yg di pilih Tuhan!!",Negatif,20/01/21 02:49:29,,,
rizkyaditya.97,"Pak tolong sediain vaksin versi kapsul pak, saya gk suka disuntik",Negatif,20/01/21 11:19:11,,,
mahmuddt_,"KOK SUNTIKANNYA GAK DI TEKAN DAN MALAH DI TUTUPIN SAMA TANGAN DOKTERNYA , KNP YEE BIKIN RAGU YEEEKEEEN GUYS @laila.sholatiya @norerliani30",Negatif,20/01/21 11:23:05,,,
rukminto7,MANTAP PAK JOKOW SMG KITA SEMUA DI BERIKAN KESEHATAN DAN DI JAUHKAN DRI BENCANA PENYAKIT YG MEMATIKAN INI AMIIN??,Positif,20/01/21 12:40:10,,,
nanikethiox,Semgat pakk mata garuda setajam semgat bpk pancasila selalu di hati ,Positif,20/01/21 12:55:07,,,
revlintrig_,"halo selamat malam pa, makasih bngt buat perjuangan dan pengorbanan bapa untuk Indonesia. Saya bangga dan berterimakasih banget kepada bapa. Semangat ya pa untuk Indonesia yg lebih baik lagi..",Positif,20/01/21 13:00:20,,,
harfa60_,Pak.. hati2.. jgn biarkan jarum itu melukai kulit bapak,Positif,20/01/21 13:02:22,,,
arilestari30,"SAYA PELANGGAN PDAM, DI CILACAP KENAPA BAYAR MAHAL 1BULAN PUN KADANG TIDAK KELUAR SETIAP HARI, PEMAKAIAN SEDIKIT TETAPI BEBANNYA ITU SANGAT MENCEKIK KITA (MAHAL BANGETTT)",Negatif,20/01/21 13:49:30,,,
arilestari30,BEBAN TETAP 25RIBU.. KADANG 1BULAN PUN TAK KELUR AIRNYA.. SAYA SANGAT TERBEBANI TETAP BAYAR RUTIN SETIAP BULAN. KENAPA KAMI MERASA DI RUGIKAN,Negatif,20/01/21 13:52:53,,,
agil_fath,"Terlalu bagus untuk di lihatkan ke masyarakat sebagai orang yg pemberani di vaksin pertama, tapi entahlah vaksin untuk masyarakat apakah sama dengan vaksin yang di suntikan ke jokowi saya tidak percaya adanya corona tapi saya curiga ini adalah bisnis besar²an pemerintah untuk menipu rakyat nya sendiri....",Negatif,20/01/21 14:02:30,,,
muhamadikbal1997,"Itu cairan vaksinya utuh terus gak berkurang, bau bau kebohongan nih! ",Negatif,20/01/21 14:18:10,,,
mariachristina3408,Sehat selalu bapak ku,Positif,20/01/21 15:07:00,,,
m.galihkurnia,"Pak saya ingin bertanya, apakah cek covid bayar? Kalau bayar bagaiman nasib masyarakat yang gak mampu mau cek",Negatif,20/01/21 17:01:22,,,
muhammadarkhannew,Batuk kecil saja ehkkhg. Hehe sehat terus pa Jokowi. Mudah2an Allah selalu memudahkan langkah bapak dan diperlancar dalam mengemban amanah besar ini pak.,Positif,20/01/21 20:23:13,,,
qiilyaraa_1475,Mugi² sehat selalu nggeh pakk,Positif,21/01/21 03:57:10,,,
mhmmdardiansyah255,Pak Bosen PSBB mulu,Negatif,21/01/21 05:19:36,,,
siiskaawireens,Sehat selalu ya pak presiden.semangat Indonesia MAJU,Positif,22/01/21 00:31:26,,,
ersugandyv,"Kapan giliran saya d Vaksin Covid, Pakde Jokowi...?? Saya siap d Vaksin.....",Positif,22/01/21 01:23:33,,,
zibon53,Kok gak masuk cairannya? mantap,Negatif,22/01/21 06:15:24,,,
sayyied_hasyim_,Mantap pak jarumnya ketutup,Negatif,22/01/21 07:00:17,,,
verostefani,"Aduhh siapa si yg bilang cairan vaksin nya tdk masuk, nyata2 itu spoitnya kosong kok setelah disuntikkan",Positif,22/01/21 08:45:39,,,
aditya.sss_,"Pak tu serius di suntik pak, apa di tempel doang?",Positif,22/01/21 10:45:03,,,
rahayu_heyusya,Sehat sllu pak,Positif,22/01/21 15:00:10,,,
pindangmbakdah2014,Barakallahufik pakdhe..,Positif,23/01/21 02:12:06,,,
tiranimati,GAK percaya saya,Negatif,23/01/21 09:17:05,,,
_irfanpranatha,Baru sadar kalo suntikan cuman di cucuk tapi vaksin yang di suntikannya ga di pencet,Negatif,23/01/21 09:42:38,,,
itzmemilia,"Pantesan gemeteran tangan dokternya, ternyata beliau sudah tau gaess jadi wajar ",Negatif,23/01/21 12:49:21,,,
xcrybabyyyy_,Suntikannya aja ga di dorong mana masuk tuh obat,Negatif,23/01/21 14:34:58,,,
ranti_afifah14,Knp y pak itu orng yg udh disuntik vaksin mlh kena covid? BKN ny vaksin buat hewan doang yah,Negatif,23/01/21 22:32:54,,,
nissfdhlh06,Sehat selalu bapak presiden yang terhormat,Positif,24/01/21 05:08:01,,,
abdiwaluyo123,PAK UTANG LUAR NEGERI NYA @jokowi,Negatif,24/01/21 13:01:30,,,
indah_7503,"Izin mengemukakan pendapat, saya beranggapan akan lebih efektif apabila diganti dengan rapid/swab antigen gratis karena lebih tepat dan terarah untuk pencairan anggaran kesehatan. Karena sejujurnya kami masi belum yakin sepenuhnya vaksin yang tersedia dapat membebaskan kami dari virus  covid seumur hidup. Terima kasih",Positif,25/01/21 12:34:03,,,
azmiartarkrsmn,"Mashallah banyak tim pro dan kontra namun apadaya tak paham tim mana yang bisa tuk dipercaya, cukup berserah pada sangkuasa semoga ada jalan keluar dibalik semua kejadian dan masalah yang ada.. tak perlu mengeluarkan komentar yang dapat menyakiti hati orang lain karena kita sama² manusia yang  seharusnya saling melindungi bukan menghakimi saling mendoakan saja semoga semuanya dapat kembali membaik",Positif,26/01/21 04:49:00,,,
milia.08,Sehat selalu bapak Presiden,Positif,26/01/21 05:23:38,,,
elisabetatoelisa,Sehat selalu Pak Presiden,Positif,26/01/21 10:33:38,,,
argazbramasta,Al hamdulilah ya alloh,Positif,26/01/21 12:00:55,,,
fransluhutsinaga,Mantap psk,Positif,28/01/21 17:46:49,,,
baim_revormis8,Pak Jokowi selalu di hatiku semoga sehat selalu bapak presidenku,Positif,28/01/21 17:49:30,,,
irawan_00063,Pa kapan kami di vaksin????,Positif,28/01/21 17:51:46,,,
wayan.boby,semoga rahayu,Positif,29/01/21 04:20:50,,,
sundarimarthas,"Selalu sehat pak Jokowi, Indonesia sangat membutuhkan sosok seperti bapak,tetap semangat  semoga pandemi segera berlalu",Positif,29/01/21 04:21:35,,,
iceupuspitasari,Merdeka... salam pg yg ceria semoga bpk presiden kita selalu di beri kesehatan agar selalu dapat memimpin negara ini ,Positif,29/01/21 04:27:38,,,
kristanto1168,Sehat selalu Bapak Presiden ... Aamiin,Positif,29/01/21 04:40:44,,,
fitrahrasidi,orang ini Kapan Di lengser kan ?,Negatif,29/01/21 04:49:54,,,
ukasaadja,Saya takut di suntik suntik nya itu bisa membuat semua orang takut suntikan itu bahaya,Negatif,29/01/21 05:12:36,,,
dadangmujiono,Yang nyuntik kok gemetaran Pak tangannya?? Haha cupu..,Negatif,29/01/21 05:17:50,,,
muhammadilham_alam,"Teladan yang baik, semoga Pak Jokowi Widodo sehat dan senantiasa selalu berada dalam lindungan Allah SWT, amiiinnn…",Positif,29/01/21 05:51:19,,,
cintoko_rent_car,Smoga sehat idolaku suri tauladanku,Positif,29/01/21 06:54:38,,,
din.king,Pm tai lalat dikit,Negatif,29/01/21 06:58:18,,,
samitunami,Sehat sll ngeh Pak Jokowi msh byank PR yg hrs diselesaikan,Positif,29/01/21 06:59:38,,,
budy3570,"Gimana kami para TKI , apa bisa mendapatkan vaksin,",Positif,29/01/21 07:28:31,,,
f3ttucin3,Semoga sehat terus pak Jokowi,Positif,29/01/21 07:51:25,,,
atikc833,Semoga sellu pak jokowi amin2,Positif,29/01/21 08:29:15,,,
ade.supriatman.566,Semoga Bapak Sehat Selalu  dan Terhindar  dari Virus Covid-19.Aamiin,Positif,29/01/21 11:31:11,,,
akunnyahana,Aku padamu Pak...,Positif,29/01/21 12:08:42,,,
kaban_tda,"mantap semoga p ini brsahabat tidak menyerang kita lagi ,tapi paksin buat ormis bagus ga? Mksi",Positif,29/01/21 12:25:00,,,
akiljuli31,"Salam sejahtera pak, sebelumnya saya mau nanya pakde kenapa di vaksin nya 2 kali?",Positif,29/01/21 13:21:38,,,
thisisbintang_,Kali ini dredeknya kurang,Positif,29/01/21 14:08:01,,,
veronicanggunfranciska,Sehat selalu pak,Positif,29/01/21 14:08:18,,,
puah434,Sukses selalu buat bpk presiden Indonesia,Positif,29/01/21 16:27:45,,,
petronius_1491,"Galfok sm aki dokter, sdh tua bgt, tremor nyuntikin'y, sehat selalu ya",Positif,30/01/21 01:53:51,,,
7gadismanja,Semangat ya pak presiden semoga sehat selalu,Positif,30/01/21 02:43:56,,,
jonson.koe117gmail.co,Sehat selalu Bapak,Positif,30/01/21 03:17:47,,,
fsiti315,Semoga pak Jokowi sehat terus selalu dalam lindunganNya,Positif,30/01/21 03:34:44,,,
sal_sabilaatikohtsurayahusna,Sehat terus Nggeh pakde,Positif,30/01/21 03:39:27,,,
zigkonveksikatalog,Sehat selalu pak jokowi @zigkonveksi,Positif,30/01/21 04:09:45,,,
sisca_iyut,"Indonesia segera membaik pak, biar anak2 cepat masuk sekolah lg.",Positif,30/01/21 04:09:57,,,
karyo_pin,"Aq yaqin dg pemimpin kita ini,Semoga pandemi segera berlalu.Sehat selalu Bapakku,Bapak kita semua...Goo 2045 Indonesia Maju",Positif,30/01/21 04:28:40,,,
tajuukkkcptn,"Panutanquee, sehat selalu pak",Positif,30/01/21 04:57:32,,,
batinwaya,Semoga Sehat sehat,Positif,30/01/21 06:22:26,,,
asepmatin090288____,Tolong bapak presiden orang yg tidak bekerja seperti saya ini ..mau/ingin merasakan dapat santunan covid 19 ..susah banget..g pernah dapat ...,Negatif,30/01/21 08:13:07,,,
nickoanarkie,Saya juga mo di Vaksin,Positif,30/01/21 10:20:40,,,
milkamunthe_,sehat selalu dan panjang umur ya pak TUHAN meyertai bpk,Positif,30/01/21 10:49:24,,,
cherley6,Sukses selalu bpk presiden Jokowi,Positif,30/01/21 11:17:47,,,
adtysptr_,BELAGA AJA NIH PRESIDEN…….,Negatif,30/01/21 16:03:57,,,
hadijejakkasus93,"Kami bangga pada bpk,tersenyumlah terus walau bpk di hina di caci sama orang orang yang iri dengki terhadap bpk,sampai nanti dia sadar bahwa bpk yg terbaik",Positif,30/01/21 16:53:26,,,
yeniwulandariofficial,Sehat terus ngeh pak...,Positif,30/01/21 22:46:03,,,
1n35_laurens,Doaku  besertamu Pak  Presiden bersama keluarga. Amin,Positif,30/01/21 22:53:54,,,
rini.ani30,"Semoga Bapak,di berkahi kesehatan . Pandemi segera berakhir,perekonomian lancar.",Positif,30/01/21 23:13:40,,,
bundanyatasyabundanyatasya,Siap di faksin,Positif,30/01/21 23:24:15,,,
aagussuhartono,"Kami juga ikut. Sukseskan vaksinasi kedua, ayo",Positif,30/01/21 23:42:09,,,
frida_c3,Dokter nya gemeter,Positif,31/01/21 01:59:15,,,
feliciaivanabenedictus,Sehat selalu Pak Jokowi,Positif,31/01/21 02:11:44,,,
yogiirawan91,"Kapan pak pandemi Korona berakhir? Sekolah aktif lagi? Bagaimana langkah untuk mendapatkan KIP,ke 4 anak saya tidak satupun yang dapat pak,",Negatif,31/01/21 02:39:02,,,
wijayanti6237,Mantap pak sehat sll,Positif,31/01/21 02:53:49,,,
monnadaaa,Sehat selalu ya Pak Jokowi,Positif,31/01/21 02:59:52,,,
yubiirma,Smoga anak negri ini bisa membuat vaksin sendiri..jdi kita tidak perlu import jauh jauh .sshingga nnti dana yg keluar  besar..,Positif,31/01/21 03:23:27,,,
hanifah_2517,aamiin,Positif,31/01/21 06:01:02,,,
istywilly,Semoga secepatnya dapet vaksin,Positif,31/01/21 06:08:02,,,
rahmanhbb,MODUSSS CEBONG PKI MAFIAAA PENJILATTT....MUNAFIKKK,Negatif,31/01/21 07:55:55,,,
ade_zulfrian,"Gak maskeran sehat kok, ngapain maskeran",Negatif,31/01/21 09:19:44,,,
rudi.261089,"Selama program Vaksinasi tetep diberlakukan PSBB pak, supaya gak bablas... Nanti kalo bablas, angka kasus positif takutnya tetap naik... Jadi bingung, padahal program vaksinasi sudah berjalan tapi angka positif tetap naik…",Negatif,31/01/21 09:25:02,,,
rudi.261089,"Protokol kesehatan tetap diberlakukan pak, termasuk PSBB supaya tidak bablas... Kalo benar2 sudah normal lagi maka ditakutkan setelah program vaksinasi, angka kasus positif tetap meningkat terus…",Negatif,31/01/21 09:26:17,,,
ds_celo,"angel pakdhe, masih bnyak yg pda ga patuh",Negatif,31/01/21 09:28:41,,,
menovers_tangsel,Kok yg megang suntik nya malah getar tangannya,Negatif,31/01/21 10:02:39,,,
suprihartini762,Klw dirmh saja apa hrus ikuti protokol kesehatan jg ya ......,Positif,31/01/21 10:17:05,,,
all_fawwazzen,sakit gak tu,Positif,31/01/21 10:47:49,,,
ibrahim.holland.1,semoga bapa dan keluarga selalu di jag oleh Allah SWT dan Indonesia tercinta makmur sllau dan sehat salalu,Positif,31/01/21 12:19:21,,,
ptraxhumble,Yok bisa yok,Positif,31/01/21 12:31:54,,,
manches7292,Saya tunggu reaksi vaksin 4 bulan dri Bpk.. Kalau 4 bulan berhasil saya orang pertama garda paling depan di vaksin,Positif,31/01/21 12:53:36,,,
bieee_andarestaaa,sehat selalu pak jokowi,Positif,31/01/21 13:42:02,,,
derismifathya,Jelas2 mau divaksin kok pake jaket sih pak? Hehe. Sehat selalu ya Pak,Positif,31/01/21 14:18:29,,,
najmabintangalhamid,Itu yg nyuntik org china bukan?,Positif,31/01/21 15:30:46,,,
nrhariadi,"Semoga bpk presiden di lindungi allah swt,amin",Positif,31/01/21 17:30:23,,,
arbanitrainer,SEHAT DAN KUAT INDONESIAKU !!!!!!!!!!,Positif,31/01/21 18:10:45,,,
pappaellsuroso,Pak presiden betulkah anda membaca komen rakyatmu lewat instagram ini ??? Atau hanya lewat bawahanmu yg suka memfilter itu ???? Jawab pak....jangan cuma basa basi...ars asal rakyat senang,Negatif,31/01/21 18:29:48,,,
mas_bugo,Siap laksanakan  pak,Positif,31/01/21 20:46:00,,,
prayogatedyjuan,"Pak Mohon biking undang” korupsi di hukum mati, tidak usah memikirkan HAM pak, indonesia sudah darurat korupsi, gak akan pernah jera pejabat yg korupsi kalo hukumannya aja hanya 2 tahun’an pak, mohon di buat undang”nya pak",Negatif,31/01/21 21:28:43,,,
george.buffon,Kasihan banget ya rakyat seolah gak ada komando. Kalau ingat menteri penerangan dahulu pak Harmoko dari pagi siang sore menyiarkan jaga protokol kesehatan maka 1 bulan covid sudah beres,Negatif,31/01/21 21:29:01,,,
aldisuryana77,"Pak hentikan aja pemeriksaan tes covid nya, ga berguna pak",Negatif,31/01/21 21:47:19,,,
erwij1,"Pak Presiden, ini PPKM atau PSBB percuma tanpa dibarengi dengan tindakan tegas jika ada yang melanggar prokes. Saya setuju jangan sampai lockdown tapi masyarakat yang susah diatur hendaknya harus diberi hukuman yang membuat jera. Corona di Indonesia ini sudah 1 juta orang loh Pakde. Semakin banyak yang terkena corona makin sulit dokter2 dan nakes kita dalam menangani pasien corona. Selain itu efeknya juga membebani keuangan negara dan ekonomi Indonesia akan semakin lama pulihnya. Semoga ada jalan keluar yang terbaik yah Pak Presiden.",Negatif,31/01/21 22:00:08,,,
baru_alex,Kami selalu mk masker. Pak,Positif,31/01/21 22:55:11,,,
tresnakusmiady,"Semoga vaksin ini bisa mencegah walau belum mengatasi virus covid 19....,sehat selalu pak jokowi presiden indonesia......",Positif,31/01/21 23:03:51,,,
djamaltahit,"Yth pak Jokowi. Untuk menekan angka penularan Covid-19, sebaiknya diberlakukan jam malam selama 12 jam, yaitu jam 7 malam s/d jam 7 pagi. Itu untuk menekan kegiatan malam yang pada umumnya tidak terkontrol.",Negatif,31/01/21 23:13:22,,,
mas_antokkk,Kpn sekolah dibuka kembali pak,Positif,31/01/21 23:21:51,,,
don_donsky,Syiap Pak . Doakan yang baik baik Semoga bapak sehat dan Semoga utamakan Selalu dekat dengan Tuhan dan cepat dekat cepat di panggil .,Negatif,31/01/21 23:22:20,,,
nitta_agsigit,"Tp jangan dilupakan pak, tunjangan guru TPG non PNS tahun 2020 khususnya tw 3 dan 4 masih banyak yg tertahan dibank penyalur dan belum dicairkan. Mohon selalu dipantau juga",Negatif,31/01/21 23:31:50,,,
mirfanfadlilah,"Sekedar saran, Pak Presiden.. Untuk setiap warga yg divaksin nnti diberikan surat keterangan sudah divaksin. Surat itu nnti berguna untuk beberapa hal, seperti jika saat naik transportasi udara atau lainnya, tidak perlu lagi swab tes atau rapid, cukup memberikan fotocopy surat tersebut yg sudah dilegalisir..",Negatif,31/01/21 23:37:18,,,
awan_mo_wus_wus,Pak... Mohon solusinya.. Kenapa kemendikbud melarang tatap muka tp kenapa kemenag tidak melarang tatap muka kegiatan spt TPQ dan madrasah... Akhirnya para orang tua pada menyalahkan pak.,Negatif,31/01/21 23:39:53,,,
nancy_ly24,"Bapak Presiden yang terhormat,, tolong bantu saya, ini JAMAN REFORMASI atau ORDE BARU?",Negatif,31/01/21 23:43:06,,,
blueman682,"Penting nya memakai masker untuk kita dan lingkungan agar membentengi diri dari covid 19,semoga vaksin ini sampai ke tubuh saya.amin",Positif,31/01/21 23:57:54,,,
haijoox,"Ngak sakit pak @jokowi , jarum spuit nya gak diganti setelah ambil obat dari vial, apa gak tumpul jarum nya, pasti terasa sakit",Positif,01/02/21 00:30:43,,,
nobita__exe,@indraaaawan  @yoorap_  @denyyyy07  pak presiden denny temen saya katanya mau divaksin tapi dia takut jarum suntik truss gimana pak?,Positif,01/02/21 01:09:54,,,
crtthinie,"bapak presidenku..tolong perhatikan dgn vaksin kucing 28 ekor kucingku dlm 2minggu hrs meninggal kena virus panleu,karna ketiadaan vaksin seindonesia..mohon diperhatikan pak presiden terbaikku,save #kucing jalanan#kucing kampung#kucing binatang lucu…",Negatif,01/02/21 01:25:31,,,
lhinuz_minuz,terimakasih bapak presiden,Positif,01/02/21 01:26:57,,,
bimzgaming,hukum tumpul keatas tajam kebawah,Negatif,01/02/21 01:59:54,,,
ramayanuaraldi,"Bosen aku pak, aku cuma di ceritain terus",Negatif,01/02/21 02:27:17,,,
mappa_anime,Mall pasar toko2 kantor2 tempat rekreasi dan lainnya tetap di buka .... Knp sekolah tetap ditutup yg jam operasional nya kurang dari 15jam... Bgmn Indonesia bisa maju ...? .... Sampai2 sekolah udh jadi kandang ayam dengarlah pemimpinku yg kurang sehat.....@jokowi @kyai_marufamin,Negatif,01/02/21 02:43:01,,,
roger_t.f,Semangat pa jokowi,Positif,01/02/21 02:54:24,,,
a.suliswati,"Asslam mlaikum wr br saya lihaat bpk .pesiden di suyik imunisasi apa, kesatan itu bpk pesiden RIPUBIK INDINESIA",Positif,01/02/21 03:28:29,,,
a.suliswati,Saya merasa benci dengan org yg sok tahu terhadap vaksin ini,Negatif,01/02/21 03:29:18,,,
rfkybrkh,"saya tidak di masker udah di kasih imun dan kesehatan sama allah pak ,selebihnya tinggal kita jaga ,tapi kalo lagi naik motor keluar pake masker takut di tilang pak",Negatif,01/02/21 03:31:10,,,
galuhmardiyanto84,Manusia bernafas menghirup oksigen pak,Positif,01/02/21 03:56:45,,,
momdevinaazka,Tolong dendanya diringankan 150 ribu itu berat sekali bt kami....Rakyat yg sudah bertahan dgn Kondisi berat saat ini.... Tolong Bapak Jokowi yg terhormat…,Negatif,01/02/21 04:00:48,,,
kacang_flow,Semoga 3 periode,Positif,01/02/21 04:05:47,,,
rianalviansyah_,"Sedikit masukan pak,masyarakat kalo ada razia masker tolong jangan di denda dengan cara mengeluarkan uang,kasian yg gak kerja yg nyari penghasilan susah,mungkin bisa dengan cara kerja sosial nyapu atau apa,tapi tolong jangan di denda dengan cara mengeluarkan uang. Kasian yg gak kerja,bahkan buat makan pun mereka harus cari uang dengan susah payah,mohon perhatian nyaa",Negatif,01/02/21 04:11:58,,,
malikanasha,"ADAKAN GERAKAN NASIONAL DONOR PLASMA KONVALESEN, SANGAT EFEKTIF KARNA SKALA NASIONAL,KAN YG UDAH KENA COVID TERDATA. SEMBARI MENGGALAKKAN GOTONG ROYONG SESAMA ANAK BANGSA",Positif,01/02/21 04:37:54,,,
enggang.mendung.rindu,"PERISAI HIDUP MANUSIA IALAH TAKWA DAN KEIMANAN. MASKER BUKAN APA APA, ENGGAK DIPAKE KENA HUKUM UANG DAN PIDANA AJA HA HA HA.",Negatif,01/02/21 04:44:06,,,
enggang.mendung.rindu,"TIPU SUNTIK APAAN NIH SIH, KOK JARUMNYA PENDEK?",Negatif,01/02/21 04:46:48,,,
jarlianirohmah,"JAGA KESEHATAN DAN STAY SAFE pleaseeee ,",Positif,01/02/21 04:51:08,,,
jarlianirohmah,"aku udh kena covid , dan covid bener adaaaa !!! Please protokol 5 M nya di jaga , mohon banget semua masyarakat indonesia, ga enak banget sakit covid",Negatif,01/02/21 04:52:01,,,
yofannyhariadi,"Pak terima kasih , kemaren saya lihat berita di tv judul presiden kritik ppkm. Betul pak selama ppkm.ekonomi turun tapi tidak disertai penurunan kasus. Saya hanya mohon pemerinta dan aparaturnya tegas pak dalam pelaksanaan kebijakan yg dibuatnya sendiri. Waktu psbb dahulu kita bisa tegas dengan denda dan sangsi tapi kenapa sekarang melemah dan semakin longgar? Tapi saya berterima kasih bahwa ppkm dievaluasi oleh bapak sendiri. Semoga ada perubahan lebih ketat pak.",Negatif,01/02/21 04:58:33,,,
artsevent8,"Gw orang bodoh..saya pikir kenapa tidak 2 Minggu dikurung di desa dilarang keluar lokasi daerah per kampung..perkampung dikasih bantuan buat 2 Minggu..kalau ada yg kluar bisa ditindak per ketua rt.nya..dr pd dikasih bantuan per orang sama saja uang dibagi percuma tidak memecah masalah..berbulan"" seperti ini..",Negatif,01/02/21 04:59:21,,,
